2025-07-22 05:13:49.880707 73, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.07663639758276632
2025-07-22 05:17:07.667413 74, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 32} 0.08278534267208436
2025-07-22 05:20:25.126296 75, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.08443249055571571
2025-07-22 05:23:42.821117 76, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 8} 0.04699924791456085
2025-07-22 05:27:00.827179 77, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.08349152376643795
2025-07-22 05:30:18.662412 78, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.07811722221215149
2025-07-22 05:33:36.344659 79, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.08487337493732985
2025-07-22 05:36:53.889831 80, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 16} 0.06655778775874419
2025-07-22 05:40:11.680711 81, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.06741579233779907
2025-07-22 05:43:29.332988 82, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.07296844000303176
2025-07-22 05:46:47.048122 83, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 32} 0.06959994901322838
2025-07-22 05:50:04.304144 84, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.09120717379738248
2025-07-22 05:53:21.793498 85, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.09111287476694895
2025-07-22 05:56:39.263520 86, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 64} 0.07327430447506142
2025-07-22 05:59:57.359389 87, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.07917647781191417
2025-07-22 06:03:14.947647 88, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.07753284226705391
2025-07-22 06:06:32.495473 89, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 128} 0.08115401370011026
2025-07-22 06:09:50.084689 90, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 32} 0.07729524389354193
2025-07-22 06:13:12.142966 91, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 8, 'max_depth': 32} 0.06663140170683689
2025-07-22 06:16:30.057951 92, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.06705212377335008
2025-07-22 06:19:47.944779 93, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.06904780021780017
2025-07-22 06:23:05.312757 94, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 32} 0.06649507045861393
2025-07-22 06:26:23.047704 95, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.08187126737381277
2025-07-22 06:29:41.054097 96, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.08624436163885188
2025-07-22 06:32:58.667283 97, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 32} 0.07745909056566071
2025-07-22 06:36:15.038051 98, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 8} 0.04322271804517648
2025-07-22 06:39:33.581961 99, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 32} 0.07844145706963572
2025-07-22 15:43:33.124945 0 {'chunk_seconds': 5, 'num_freqs': 13, 'num_estimators': 500, 'max_depth': 50} 0.4055973902721533
2025-07-22 15:53:26.125454 1 {'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 500, 'max_depth': 40} 0.3178773016709582
2025-07-22 16:03:13.622852 2 {'chunk_seconds': 8, 'num_freqs': 9, 'num_estimators': 500, 'max_depth': 10} 0.1905022817604192
2025-07-22 16:12:22.138425 3 {'chunk_seconds': 8, 'num_freqs': 10, 'num_estimators': 100, 'max_depth': 10} 0.19164769707259893
2025-07-22 16:32:12.934273 0 {'chunk_seconds': 8, 'num_freqs': 3, 'num_estimators': 500, 'max_depth': 10} 0.19494769434069767
2025-07-22 16:41:18.252310 1 {'chunk_seconds': 6, 'num_freqs': 15, 'num_estimators': 100, 'max_depth': 20} 0.41750644626070743
2025-07-22 16:49:37.823851 2 {'chunk_seconds': 6, 'num_freqs': 14, 'num_estimators': 200, 'max_depth': 40} 0.4263477321060106
2025-07-22 16:58:25.567566 3 {'chunk_seconds': 10, 'num_freqs': 12, 'num_estimators': 300, 'max_depth': 10} 0.1554910126961834
2025-07-22 17:07:08.573905 4 {'chunk_seconds': 1, 'num_freqs': 14, 'num_estimators': 600, 'max_depth': 40} 0.41781019305937483
2025-07-22 17:17:46.560662 5 {'chunk_seconds': 4, 'num_freqs': 6, 'num_estimators': 400, 'max_depth': 40} 0.36658469335812915
